MD(m)	TVD(m)	TVDSS(m)	TWT(ms)	Vint(m/s)
34.1	34.1	0	0	2000
479.74	479.7	445.6	473	1884.1436768
510.519989	510.47998	476.3799744	504	1985.8051758
547.75	547.709961	513.6099854	543	1909.2325439
569.6599731	569.6199341	535.5199585	565	1991.8144531
611.3900146	611.3499756	577.25	610	1854.6678467
664.9500122	664.9089355	630.80896	662	2059.960449
697.1099854	697.0655518	662.9655762	692	2143.7766113
856.0800171	856.020081	821.920105	840	2148.03418
907.88	907.8200684	873.7200928	886	2252.1730957
946.5	946.4400635	912.3400879	921	2206.8552246
1024.3900146	1024.3200684	990.2200928	991	2225.142334
1071.12	1071.0499268	1036.9499512	1032	2279.5114746
1111.13	1111.0599365	1076.959961	1067	2286.27832
1200.9300537	1200.8599854	1166.76001	1150	2163.8581543
1246	1245.925293	1211.8253174	1195	2002.896851
1359	1358.91394	1324.8139648	1304	2073.1882324
1785	1784.8529053	1750.75293	1740	1953.8483887
1858	1857.8421631	1823.7421875	1773	4423.5922852
1970	1969.824585	1935.724609	1873	2239.6464844
2048	2047.8099365	2013.709961	1942.6245117	2240.1699219
