MD(m)	TVD(m)	TVDSS(m)	TWT(ms)	Vint(m/s)
34.1	34.1	0	0	2000
502.5	502.46	468.3599854	504.70401	1855.9788818
502.65	502.6099854	468.509979	504.8509827	2040.9407959
502.8	502.759979	468.6599731	504.997009	2054.2692871
502.9500122	502.91	468.81	505.1429749	2055.5263672
503.1	503.06	468.96	505.2879944	2068.6230469
503.25	503.21	469.1099854	505.43399	2055.1081543
503.5499878	503.509979	469.4099731	505.724	2068.6230469
503.7	503.66	469.56	505.8670044	2098.3676758
503.85	503.81	469.71	506.0080261	2127.2021484
504.15	504.1099854	470.009979	506.2940063	2097.940918
504.3	504.259979	470.1599731	506.4399719	2055.1081543
504.4500122	504.41	470.31	506.5870361	2040.5285645
504.6	504.56	470.46	506.7350159	2026.9674072
504.75	504.71	470.6099854	506.884979	2000.3815918
504.9	504.8599854	470.759979	507.0369873	1973.7098389
505.0499878	505.009979	470.9099731	507.1880188	1986.172119
505.2	505.16	471.06	507.338989	1987.3604736
505.35	505.31	471.21	507.49	1986.9561768
505.5	505.46	471.3599854	507.6410217	1986.172119
505.8	505.759979	471.6599731	507.9429626	1986.9561768
505.9500122	505.91	471.81	508.0940247	1986.5761719
506.1	506.06	471.96	508.2449951	1986.9561768
506.25	506.21	472.1099854	508.3960266	1986.172119
506.4	506.3599854	472.259979	508.5469971	1986.9561768
506.5499878	506.509979	472.4099731	508.6950073	2026.9674072
506.7	506.66	472.56	508.8469849	1974.1113281
506.85	506.81	472.71	509.0019836	1935.7539063
507	506.96	472.8599854	509.1599731	1898.5137939
507.15	507.1099854	473.009979	509.319	1886.416748
507.3	507.259979	473.1599731	509.469971	1986.9561768
507.4500122	507.41	473.31	509.6139832	2083.602539
507.6	507.56	473.46	509.7560425	2112.0268555
507.75	507.71	473.6099854	509.8970032	2128.1015625
508.0499878	508.009979	473.9099731	510.177002	2142.5969238
508.2	508.16	474.06	510.3170166	2143.0327148
508.35	508.31	474.21	510.45697	2143.5092773
508.5	508.46	474.3599854	510.5969849	2142.5969238
508.8	508.759979	474.6599731	510.875	2158.2160645
508.9500122	508.91	474.81	511.0139771	2158.6552734
509.25	509.21	475.1099854	511.2919922	2158.2160645
509.4	509.3599854	475.259979	511.4300232	2173.1259766
509.5499878	509.509979	475.4099731	511.569031	2158.2160645
509.7	509.66	475.56	511.707001	2174.50708
509.85	509.81	475.71	511.8450012	2174.0646973
510	509.96	475.8599854	511.9820251	2189.1953125
510.15	510.1099854	476.009979	512.12	2174.0646973
510.3	510.259979	476.1599731	512.256958	2190.147949
