MD(m)	TVD(m)	TVDSS(m)	Color
30	30	1.36	Seasurface
580	580	551.3599854	MFS11
598.0344849	598.0344849	569.39447	FS11
670.539978	670.540039	641.9	MFS10
697.12	697.12	668.47998	MFS9
725.25	725.25	696.6099854	MFS8
771.690979	771.690979	743.0509644	FS8
918.2590942	918.2590942	889.61908	FS7
1026.6860352	1026.6860352	998.046021	Truncation
1069.7249756	1069.7249756	1041.084961	Top Foresets
1083.97998	1083.97998	1055.3399658	FS6
1086.3759766	1086.3759766	1057.7359619	MFS4
1133.06897	1133.06897	1104.4289551	FS4
1144.219971	1144.219971	1115.5799561	FS3
1151.2	1151.2	1122.5599365	FS2
1170.0699463	1170.0699463	1141.4299316	MFS2
1225.530029	1225.530029	1196.8900146	FS1
1261.3399658	1261.3399658	1232.7	MMU
