MD(m)	TVD(m)	TVDSS(m)	TWT(ms)	Vint(m/s)
30	30	0	0	2000
486.1400146	486.1400146	456.1400146	485	1880.9897461
522.2	522.2	492.2	522	1949.1882324
564.4	564.4	534.4	565	1962.7927246
589.9199829	589.9199829	559.9199829	592	1890.3653564
610.9	610.9	580.9	613	1998.1038818
676.43	676.43	646.43	675	2113.8681641
715.02002	715.02002	685.02002	710	2205.1477051
835.93	835.93	805.93	820	2198.3625488
890.32	890.32	860.32	868	2266.2536621
957.289978	957.289978	927.289978	927	2270.1679688
1036.9399414	1036.9399414	1006.9399414	995	2342.6445313
1073.3	1073.3	1043.3	1024	2507.5898438
1111.790039	1111.790039	1081.790039	1056	2405.628418
1249.719971	1249.719971	1219.719971	1178	2261.1467285
1647	1647	1617	1569	2032.1228027
1885	1885	1855	1698	3689.9240723
1932	1932	1902	1732	2764.7026367
