MD(m)	TVD(m)	TVDSS(m)	TWT(ms)	Vint(m/s)
30	30	0	0	2000
336.3	336.3	306.3	329.8580017	1857.16272
336.4500122	336.4500122	306.4500122	330.006012	2027.1204834
336.6	336.6	306.6	330.1529846	2041.0061035
336.75	336.75	306.75	330.2980042	2068.689209
336.9	336.9	306.9	330.4420166	2083.2456055
337.0499878	337.0499878	307.0499878	330.5839844	2112.9812012
337.2	337.2	307.2	330.7250061	2127.362061
337.35	337.35	307.35	330.8670044	2112.9812012
337.5	337.5	307.5	331.0079956	2127.719971
337.65	337.65	307.65	331.1490173	2127.2702637
337.8	337.8	307.8	331.29	2127.719971
337.9500122	337.9500122	307.9500122	331.4329834	2098.0981445
338.1	338.1	308.1	331.5769958	2083.2456055
338.25	338.25	308.25	331.724	2041.0063477
338.5499878	338.5499878	308.5499878	332.026001	1986.62793
338.7	338.7	308.7	332.1749878	2013.737061
338.85	338.85	308.85	332.3240051	2013.248779
339.15	339.15	309.15	332.6239929	2000.048584
339.3	339.3	309.3	332.776001	1973.3865967
339.4500122	339.4500122	309.4500122	332.928009	1973.856689
339.6	339.6	309.6	333.0799866	1973.7734375
339.75	339.75	309.75	333.2330017	1960.7021484
339.9	339.9	309.9	333.388	1935.4442139
340.0499878	340.0499878	310.0499878	333.5450134	1910.8287354
340.2	340.2	310.2	333.701019	1922.9543457
340.35	340.35	310.35	333.8569946	1923.241333
340.5	340.5	310.5	334.0140076	1910.8287354
340.65	340.65	310.65	334.1700134	1922.8741455
340.8	340.8	310.8	334.3259888	1923.2415771
340.9500122	340.9500122	310.9500122	334.4809875	1935.5245361
341.1	341.1	311.1	334.6360168	1935.4443359
341.25	341.25	311.25	334.7919922	1923.2415771
341.5499878	341.5499878	311.5499878	335.10199	1935.444458
341.7	341.7	311.7	335.2579956	1922.9532471
341.85	341.85	311.85	335.4140015	1923.241699
342	342	312	335.57	1922.87439
342.15	342.15	312.15	335.7259827	1923.2418213
342.3	342.3	312.3	335.88	1947.8033447
342.4500122	342.4500122	312.4500122	336.0339966	1948.2596436
342.75	342.75	312.75	336.3439941	1935.4447021
342.9	342.9	312.9	336.4979858	1948.18042
343.0499878	343.0499878	313.0499878	336.6520081	1947.8034668
343.2	343.2	313.2	336.806	1948.2590332
343.5	343.5	313.5	337.1159973	1935.4448242
343.65	343.65	313.65	337.2720032	1923.2420654
343.8	343.8	313.8	337.4289856	1910.8293457
343.9500122	343.9500122	313.9500122	337.5870056	1898.6517334
344.1	344.1	314.1	337.743988	1910.8293457
344.25	344.25	314.25	337.9020081	1898.5759277
344.4	344.4	314.4	338.0579834	1923.2421875
344.5499878	344.5499878	314.5499878	338.21402	1922.8748779
344.7	344.7	314.7	338.3680115	1948.2579346
344.85	344.85	314.85	338.5240173	1922.8748779
345.3	345.3	315.3	338.9949951	1910.82959
345.4500122	345.4500122	315.4500122	339.151001	1923.3178711
345.6	345.6	315.6	339.3070068	1922.875
345.75	345.75	315.75	339.4629822	1923.2424316
345.9	345.9	315.9	339.62	1910.8297119
346.0499878	346.0499878	316.0499878	339.7789917	1886.83252
346.2	346.2	316.2	339.9370117	1898.6501465
346.35	346.35	316.35	340.0950012	1898.5761719
346.5	346.5	316.5	340.2520142	1910.829834
346.65	346.65	316.65	340.41	1898.9344482
346.8	346.8	316.8	340.5679932	1898.576416
346.9500122	346.9500122	316.9500122	340.7259827	1899.0078125
347.1	347.1	317.1	340.8840027	1898.576416
347.25	347.25	317.25	341.0409851	1910.8299561
347.4	347.4	317.4	341.1970215	1922.8753662
347.5499878	347.5499878	317.5499878	341.3510132	1948.1812744
347.7	347.7	317.7	341.5050049	1948.2557373
347.85	347.85	317.85	341.65799	1960.7036133
348	348	318	341.8129883	1935.4456787
348.15	348.15	318.15	341.97	1910.8302
348.3	348.3	318.3	342.1289978	1886.8328857
348.4500122	348.4500122	318.4500122	342.2879944	1886.9042969
348.6	348.6	318.6	342.4470215	1886.479248
348.75	348.75	318.75	342.60498	1898.9348145
348.9	348.9	318.9	342.7619934	1910.8303223
349.0499878	349.0499878	319.0499878	342.918	1922.8757324
349.2	349.2	319.2	343.072998	1935.5184326
349.35	349.35	319.35	343.2290039	1923.243042
349.5	349.5	319.5	343.388	1886.8330078
349.65	349.65	319.65	343.552002	1829.2303467
349.8	349.8	319.8	343.713989	1851.776123
349.9500122	349.9500122	319.9500122	343.8739929	1874.9541016
350.1	350.1	320.1	344.0339966	1875.2337646
350.25	350.25	320.25	344.1889954	1935.4460449
350.4	350.4	320.4	344.3469849	1898.5770264
350.5499878	350.5499878	320.5499878	344.5059814	1886.833252
350.7	350.7	320.7	344.661011	1935.517334
351	351	321	344.9750061	1910.8305664
351.15	351.15	321.15	345.13	1935.446289
351.3	351.3	321.3	345.2869873	1910.8306885
351.4500122	351.4500122	321.4500122	345.44	1960.7757568
351.6	351.6	321.6	345.5950012	1935.446289
351.75	351.75	321.75	345.7509766	1923.24353
352.0499878	352.0499878	322.0499878	346.0710144	1874.8848877
352.2	352.2	322.2	346.2279968	1910.89978
352.35	352.35	322.35	346.388	1874.8848877
352.5	352.5	322.5	346.54599	1898.9355469
352.65	352.65	322.65	346.7049866	1886.8336182
