MD(m)	TVD(m)	TVDSS(m)	Color
30	30	0	Seasurface
486.1400146	486.1400146	456.1400146	MFS11
522.2	522.2	492.2	FS11
564.4	564.4	534.4	MFS10
564.4	564.4	534.4	MFS9
564.4	564.4	534.4	MFS8
589.9199829	589.9199829	559.9199829	FS8
627.5805054	627.5805054	597.5805054	FS7
684.2890015	684.2890015	654.2890015	Truncation
715.02002	715.02002	685.02002	Top Foresets
835.93	835.93	805.93	FS6
902.7119141	902.7119141	872.7119141	MFS4
951.9713745	951.9713745	921.9713745	FS4
1036.9399414	1036.9399414	1006.9399414	FS3
1073.3	1073.3	1043.3	FS2
1111.790039	1111.790039	1081.790039	MFS2
1216.87	1216.87	1186.87	FS1
1249.719971	1249.719971	1219.719971	MMU
