MD(m)	TVD(m)	TVDSS(m)	TWT(ms)	Vint(m/s)
30	30	0	0	2000
305.1	305.1	275.1	304.537262	1806.675415
305.25	305.25	275.25	304.6956787	1893.9395752
305.4	305.4	275.4	304.8556824	1874.890869
305.5499878	305.5499878	275.5499878	305.0185852	1841.6190186
305.7	305.7	275.7	305.1802368	1855.574341
305.85	305.85	275.85	305.3387146	1893.2271729
306.15	306.15	276.15	305.6499634	1927.6694336
306.3	306.3	276.3	305.807373	1905.772461
306.4500122	306.4500122	276.4500122	305.9667358	1882.64209
306.6	306.6	276.6	306.1299744	1837.92041
306.75	306.75	276.75	306.2931519	1838.2561035
306.9	306.9	276.9	306.4550171	1853.4875488
307.0499878	307.0499878	277.0499878	306.6150513	1874.5421143
307.2	307.2	277.2	306.7733459	1895.40271
307.35	307.35	277.35	306.9311523	1901.0936279
307.5	307.5	277.5	307.088989	1900.3759766
307.65	307.65	277.65	307.2467957	1901.09375
307.8	307.8	277.8	307.4046326	1900.7348633
307.9500122	307.9500122	277.9500122	307.5624084	1901.4885254
308.1	308.1	278.1	307.7197571	1906.4946289
308.25	308.25	278.25	307.8764343	1914.8359375
308.4	308.4	278.4	308.0328979	1917.3890381
308.5499878	308.5499878	278.5499878	308.190094	1908.302002
308.7	308.7	278.7	308.34848	1894.3312988
308.85	308.85	278.85	308.5081482	1878.7407227
309	309	279	308.6690674	1864.4736328
309.15	309.15	279.15	308.830139	1862.403931
309.3	309.3	279.3	308.991119	1863.4383545
309.4500122	309.4500122	279.4500122	309.1520386	1864.506958
309.6	309.6	279.6	309.3126526	1867.9334717
309.75	309.75	279.75	309.4729614	1871.40625
309.9	309.9	279.9	309.6328735	1875.9400635
310.0499878	310.0499878	280.0499878	309.7923279	1881.1988525
310.2	310.2	280.2	309.95105	1890.416748
310.35	310.35	280.35	310.1095886	1892.1606445
310.5	310.5	280.5	310.269043	1881.1988525
310.65	310.65	280.65	310.4300232	1863.783569
310.8	310.8	280.8	310.5934448	1835.575439
310.9500122	310.9500122	280.9500122	310.759491	1806.9405518
311.1	311.1	281.1	310.9264526	1796.911011
311.25	311.25	281.25	311.0924988	1806.5858154
311.4	311.4	281.4	311.2566528	1827.5773926
311.5499878	311.5499878	281.5499878	311.4179077	1860.3394775
311.7	311.7	281.7	311.5757141	1901.1259766
311.85	311.85	281.85	311.731842	1921.415649
312	312	282	311.8882751	1917.755127
312.15	312.15	282.15	312.0455322	1907.5794678
312.3	312.3	282.3	312.20459	1886.1340332
312.4500122	312.4500122	282.4500122	312.364502	1876.3203125
312.6	312.6	282.6	312.524719	1872.4511719
312.75	312.75	282.75	312.6838379	1885.0744629
312.9	312.9	282.9	312.8406372	1913.3811035
313.0499878	313.0499878	283.0499878	312.995911	1932.1109619
313.2	313.2	283.2	313.1505737	1939.58667
313.35	313.35	283.35	313.306	1930.2585449
313.5	313.5	283.5	313.462738	1914.1088867
313.65	313.65	283.65	313.619812	1909.751221
313.8	313.8	283.8	313.7767639	1911.5645752
313.9500122	313.9500122	283.9500122	313.9337769	1910.5050049
314.1	314.1	284.1	314.0912781	1905.0528564
314.25	314.25	284.25	314.2486267	1906.4960938
314.4	314.4	284.4	314.405701	1909.7514648
314.5499878	314.5499878	284.5499878	314.562439	1914.109131
314.7	314.7	284.7	314.7196655	1907.9696045
314.85	314.85	284.85	314.8780823	1893.94165
315	315	285	315.0383	1872.45166
315.15	315.15	285.15	315.1983643	1874.1949463
315.3	315.3	285.3	315.3562927	1899.6605225
315.4500122	315.4500122	285.4500122	315.5117188	1929.9163818
315.6	315.6	285.6	315.668335	1915.5662842
315.75	315.75	285.75	315.829559	1861.0281982
315.9	315.9	285.9	315.9934082	1830.9024658
316.0499878	316.0499878	286.0499878	316.1596375	1804.6435547
316.2	316.2	286.2	316.3247375	1817.0469971
316.35	316.35	286.35	316.4856567	1864.47522
316.5	316.5	286.5	316.6433411	1902.5330811
316.65	316.65	286.65	316.79776	1942.5516357
316.8	316.8	286.8	316.9518738	1946.68396
316.9500122	316.9500122	286.9500122	317.1077576	1924.380859
317.1	317.1	287.1	317.2657166	1899.3023682
317.25	317.25	287.25	317.425293	1880.14624
317.4	317.4	287.4	317.585022	1878.041748
317.5499878	317.5499878	287.5499878	317.7437439	1890.0307617
317.7	317.7	287.7	317.9024963	1889.7001953
317.85	317.85	287.85	318.0606079	1897.5124512
318	318	288	318.2174988	1912.291748
318.15	318.15	288.15	318.374115	1915.2025146
318.3	318.3	288.3	318.5310669	1911.5656738
318.4500122	318.4500122	288.4500122	318.6885986	1904.356689
318.6	318.6	288.6	318.8466187	1898.5863037
318.75	318.75	288.75	319.0049438	1894.6555176
318.9	318.9	288.9	319.1629639	1898.5864258
319.0499878	319.0499878	289.0499878	319.319031	1922.151123
319.2	319.2	289.2	319.4721375	1959.5922852
319.35	319.35	289.35	319.622681	1992.5386963
319.5	319.5	289.5	319.77179	2012.0539551
319.65	319.65	289.65	319.920929	2011.6519775
319.8	319.8	289.8	320.0714417	1993.3280029
319.9500122	319.9500122	289.9500122	320.2245178	1959.5915527
320.1	320.1	290.1	320.38031	1925.8286133
320.25	320.25	290.25	320.53772	1905.7756348
320.4	320.4	290.4	320.696106	1893.9429932
320.5499878	320.5499878	290.5499878	320.8540344	1899.6617432
320.7	320.7	290.7	321.0109863	1911.58728
320.85	320.85	290.85	321.167572	1915.9321289
321	321	291	321.3250122	1905.415039
