'Depth(m)'	'AI_from_well_tie(m/s x g/cc)'	'Synthetic_from_well_tie'	'AI_from_well_tie_Smoothed(m/s x g/cc)'
28.194	1e30	1e30	1e30
28.3464012	1e30	1e30	1e30
28.4988	1e30	1e30	1e30
28.6512012	1e30	1e30	1e30
28.8036	1e30	1e30	1e30
28.9560013	1e30	1e30	1e30
29.1084	1e30	1e30	1e30
29.260799	1e30	1e30	1e30
29.4132	1e30	1e30	1e30
29.565599	1e30	1e30	1e30
29.718	1e30	1e30	1e30
29.870399	1e30	1e30	1e30
30.0228	1e30	1e30	1e30
30.1752	1e30	1e30	1e30
30.3276	1e30	1e30	1e30
30.48	1e30	1e30	1e30
30.632401	1e30	1e30	1e30
30.7848	1e30	1e30	1e30
30.937201	1e30	1e30	1e30
31.0896	1e30	1e30	1e30
31.242001	1e30	1e30	1e30
31.3944	1e30	1e30	1e30
31.546801	1e30	1e30	1e30
31.6992	1e30	1e30	1e30
31.851601	1e30	1e30	1e30
32.0040016	1e30	1e30	1e30
32.1563988	1e30	1e30	1e30
32.3088	1e30	1e30	1e30
32.461201	1e30	1e30	1e30
32.6136017	1e30	1e30	1e30
32.7659988	1e30	1e30	1e30
32.9184	1e30	1e30	1e30
33.070801	1e30	1e30	1e30
33.2232018	1e30	1e30	1e30
33.3755989	1e30	1e30	1e30
33.528	1e30	1e30	1e30
33.680401	1e30	1e30	1e30
33.8328018	1e30	1e30	1e30
33.985199	1e30	1e30	1e30
34.1376	1e30	1e30	1e30
34.29	1e30	1e30	1e30
34.4424019	1e30	1e30	1e30
34.594799	1e30	1e30	1e30
34.7472	1e30	1e30	1e30
34.899601	1e30	1e30	1e30
35.052002	1e30	1e30	1e30
35.204399	1e30	1e30	1e30
35.3568	1e30	1e30	1e30
35.509201	1e30	1e30	1e30
35.661602	1e30	1e30	1e30
35.814	1e30	1e30	1e30
35.9664	1e30	1e30	1e30
36.1188011	1e30	1e30	1e30
36.2712021	1e30	1e30	1e30
36.423599	1e30	1e30	1e30
36.576	1e30	1e30	1e30
36.7284012	1e30	1e30	1e30
36.8808022	1e30	1e30	1e30
37.033199	1e30	1e30	1e30
37.1856	1e30	1e30	1e30
37.3380013	1e30	1e30	1e30
37.4904022	1e30	1e30	1e30
37.642799	1e30	1e30	1e30
37.7952	1e30	1e30	1e30
37.9476013	1e30	1e30	1e30
38.1	1e30	1e30	1e30
38.252399	1e30	1e30	1e30
38.4048	1e30	1e30	1e30
38.5572014	1e30	1e30	1e30
38.7096024	1e30	1e30	1e30
38.862	1e30	1e30	1e30
39.0144	1e30	1e30	1e30
39.1668015	1e30	1e30	1e30
39.3191986	1e30	1e30	1e30
39.4716	1e30	1e30	1e30
39.624001	1e30	1e30	1e30
39.7764015	1e30	1e30	1e30
39.9287987	1e30	1e30	1e30
40.0812	1e30	1e30	1e30
40.233601	1e30	1e30	1e30
40.3860016	1e30	1e30	1e30
40.5383987	1e30	1e30	1e30
40.6908	1e30	1e30	1e30
40.843201	1e30	1e30	1e30
40.9956017	1e30	1e30	1e30
41.1479988	1e30	1e30	1e30
41.3004	1e30	1e30	1e30
41.452801	1e30	1e30	1e30
41.6052017	1e30	1e30	1e30
41.7575989	1e30	1e30	1e30
41.91	1e30	1e30	1e30
42.062401	1e30	1e30	1e30
42.2148018	1e30	1e30	1e30
42.3671989	1e30	1e30	1e30
42.5196	1e30	1e30	1e30
42.672001	1e30	1e30	1e30
42.8244019	1e30	1e30	1e30
42.976799	1e30	1e30	1e30
43.1292	1e30	1e30	1e30
43.281601	1e30	1e30	1e30
43.4340019	1e30	1e30	1e30
43.586399	1e30	1e30	1e30
43.7388	1e30	1e30	1e30
43.891201	1e30	1e30	1e30
44.043602	1e30	1e30	1e30
44.196	1e30	1e30	1e30
44.3484	1e30	1e30	1e30
44.5008011	1e30	1e30	1e30
44.6532021	1e30	1e30	1e30
44.805599	1e30	1e30	1e30
44.958	1e30	1e30	1e30
45.1104012	1e30	1e30	1e30
45.2628021	1e30	1e30	1e30
45.415199	1e30	1e30	1e30
45.5676	1e30	1e30	1e30
45.72	1e30	1e30	1e30
45.8724022	1e30	1e30	1e30
46.024799	1e30	1e30	1e30
46.1772	1e30	1e30	1e30
46.3296013	1e30	1e30	1e30
46.4820023	1e30	1e30	1e30
46.634399	1e30	1e30	1e30
46.7868	1e30	1e30	1e30
46.9392014	1e30	1e30	1e30
47.0916023	1e30	1e30	1e30
47.244	1e30	1e30	1e30
47.3964	1e30	1e30	1e30
47.5488014	1e30	1e30	1e30
47.7012024	1e30	1e30	1e30
47.8536	1e30	1e30	1e30
48.006001	1e30	1e30	1e30
48.1584015	1e30	1e30	1e30
48.3108025	1e30	1e30	1e30
48.4632	1e30	1e30	1e30
48.615601	1e30	1e30	1e30
48.7680016	1e30	1e30	1e30
48.9203987	1e30	1e30	1e30
49.0728	1e30	1e30	1e30
49.225201	1e30	1e30	1e30
49.3776016	1e30	1e30	1e30
49.53	1e30	1e30	1e30
49.6824	1e30	1e30	1e30
49.834801	1e30	1e30	1e30
49.9872017	1e30	1e30	1e30
50.1395988	1e30	1e30	1e30
50.292	1e30	1e30	1e30
50.444401	1e30	1e30	1e30
50.5968018	1e30	1e30	1e30
50.7491989	1e30	1e30	1e30
50.9016	1e30	1e30	1e30
51.054001	1e30	1e30	1e30
51.2064018	1e30	1e30	1e30
51.358799	1e30	1e30	1e30
51.5112	1e30	1e30	1e30
51.663601	1e30	1e30	1e30
51.8160019	1e30	1e30	1e30
51.968399	1e30	1e30	1e30
52.1208	1e30	1e30	1e30
52.273201	1e30	1e30	1e30
52.425602	1e30	1e30	1e30
52.578	1e30	1e30	1e30
52.7304	1e30	1e30	1e30
52.8828011	1e30	1e30	1e30
53.035202	1e30	1e30	1e30
53.187599	1e30	1e30	1e30
53.34	1e30	1e30	1e30
53.4924011	1e30	1e30	1e30
53.6448021	1e30	1e30	1e30
53.797199	1e30	1e30	1e30
53.9496	1e30	1e30	1e30
54.1020012	1e30	1e30	1e30
54.2544022	1e30	1e30	1e30
54.406799	1e30	1e30	1e30
54.5592	1e30	1e30	1e30
54.7116013	1e30	1e30	1e30
54.8640022	1e30	1e30	1e30
55.016399	1e30	1e30	1e30
55.1688	1e30	1e30	1e30
55.3212013	1e30	1e30	1e30
55.4736023	1e30	1e30	1e30
55.626	1e30	1e30	1e30
55.7784	1e30	1e30	1e30
55.9308014	1e30	1e30	1e30
56.0832024	1e30	1e30	1e30
56.2356	1e30	1e30	1e30
56.388	1e30	1e30	1e30
56.5404015	1e30	1e30	1e30
56.6928024	1e30	1e30	1e30
56.8452	1e30	1e30	1e30
56.997601	1e30	1e30	1e30
57.15	1e30	1e30	1e30
57.3024025	1e30	1e30	1e30
57.4548	1e30	1e30	1e30
57.607201	1e30	1e30	1e30
57.7596016	1e30	1e30	1e30
57.9120026	1e30	1e30	1e30
58.0644	1e30	1e30	1e30
58.216801	1e30	1e30	1e30
58.3692017	1e30	1e30	1e30
58.5215988	1e30	1e30	1e30
58.674	1e30	1e30	1e30
58.826401	1e30	1e30	1e30
58.9788017	1e30	1e30	1e30
59.1311989	1e30	1e30	1e30
59.2836	1e30	1e30	1e30
59.436001	1e30	1e30	1e30
59.5884018	1e30	1e30	1e30
59.740799	1e30	1e30	1e30
59.8932	1e30	1e30	1e30
60.045601	1e30	1e30	1e30
60.1980019	1e30	1e30	1e30
60.350399	1e30	1e30	1e30
60.5028	1e30	1e30	1e30
60.655201	1e30	1e30	1e30
60.8076019	1e30	1e30	1e30
60.96	1e30	1e30	1e30
61.1124	1e30	1e30	1e30
61.264801	1e30	1e30	1e30
61.417202	1e30	1e30	1e30
61.569599	1e30	1e30	1e30
61.722	1e30	1e30	1e30
61.8744011	1e30	1e30	1e30
62.0268021	1e30	1e30	1e30
62.179199	1e30	1e30	1e30
62.3316	1e30	1e30	1e30
62.4840012	1e30	1e30	1e30
62.6364021	1e30	1e30	1e30
62.788799	1e30	1e30	1e30
62.9412	1e30	1e30	1e30
63.0936012	1e30	1e30	1e30
63.2460022	1e30	1e30	1e30
63.398399	1e30	1e30	1e30
63.5508	1e30	1e30	1e30
63.7032013	1e30	1e30	1e30
63.8556023	1e30	1e30	1e30
64.0080032	1e30	1e30	1e30
64.1604	1e30	1e30	1e30
64.3127975	1e30	1e30	1e30
64.4652023	1e30	1e30	1e30
64.617599	1e30	1e30	1e30
64.77	1e30	1e30	1e30
64.9224014	1e30	1e30	1e30
65.0747986	1e30	1e30	1e30
65.2272034	1e30	1e30	1e30
65.379601	1e30	1e30	1e30
65.5319977	1e30	1e30	1e30
65.6844025	1e30	1e30	1e30
65.8368	1e30	1e30	1e30
65.9892044	1e30	1e30	1e30
66.1416016	1e30	1e30	1e30
66.2939987	1e30	1e30	1e30
66.4464035	1e30	1e30	1e30
66.598801	1e30	1e30	1e30
66.7511978	1e30	1e30	1e30
66.9036026	1e30	1e30	1e30
67.056	1e30	1e30	1e30
67.2084045	1e30	1e30	1e30
67.3608017	1e30	1e30	1e30
67.5131989	1e30	1e30	1e30
67.6656036	1e30	1e30	1e30
67.818001	1e30	1e30	1e30
67.9703979	1e30	1e30	1e30
68.1228027	1e30	1e30	1e30
68.2752	1e30	1e30	1e30
68.427597	1e30	1e30	1e30
68.58	1e30	1e30	1e30
68.732399	1e30	1e30	1e30
68.8848038	1e30	1e30	1e30
69.037201	1e30	1e30	1e30
69.1895981	1e30	1e30	1e30
69.3420029	1e30	1e30	1e30
69.4944	1e30	1e30	1e30
69.6467972	1e30	1e30	1e30
69.799202	1e30	1e30	1e30
69.951599	1e30	1e30	1e30
70.1040039	1e30	1e30	1e30
70.2564011	1e30	1e30	1e30
70.4087982	1e30	1e30	1e30
70.561203	1e30	1e30	1e30
70.7136	1e30	1e30	1e30
70.8659973	1e30	1e30	1e30
71.0184021	1e30	1e30	1e30
71.170799	1e30	1e30	1e30
71.323204	1e30	1e30	1e30
71.4756012	1e30	1e30	1e30
71.6279984	1e30	1e30	1e30
71.7804031	1e30	1e30	1e30
71.9328	1e30	1e30	1e30
72.0851974	1e30	1e30	1e30
72.2376022	1e30	1e30	1e30
72.39	1e30	1e30	1e30
72.5424042	1e30	1e30	1e30
72.6948013	1e30	1e30	1e30
72.8471985	1e30	1e30	1e30
73	1e30	1e30	1e30
73.152	1e30	1e30	1e30
73.3043976	1e30	1e30	1e30
73.4568024	1e30	1e30	1e30
73.6092	1e30	1e30	1e30
73.7616043	1e30	1e30	1e30
73.9140015	1e30	1e30	1e30
74.0663986	1e30	1e30	1e30
74.2188034	1e30	1e30	1e30
74.371201	1e30	1e30	1e30
74.5235977	1e30	1e30	1e30
74.6760025	1e30	1e30	1e30
74.8284	1e30	1e30	1e30
74.9808044	1e30	1e30	1e30
75.1332016	1e30	1e30	1e30
75.2855988	1e30	1e30	1e30
75.4380035	1e30	1e30	1e30
75.590401	1e30	1e30	1e30
75.7427979	1e30	1e30	1e30
75.8952026	1e30	1e30	1e30
76.0476	1e30	1e30	1e30
76.2	1e30	1e30	1e30
76.3524017	1e30	1e30	1e30
76.5047989	1e30	1e30	1e30
76.6572037	1e30	1e30	1e30
76.809601	1e30	1e30	1e30
76.961998	1e30	1e30	1e30
77.1144028	1e30	1e30	1e30
77.2668	1e30	1e30	1e30
77.4192047	1e30	1e30	1e30
77.5716019	1e30	1e30	1e30
77.724	1e30	1e30	1e30
77.8764038	1e30	1e30	1e30
78.028801	1e30	1e30	1e30
78.1811981	1e30	1e30	1e30
78.3336029	1e30	1e30	1e30
78.486	1e30	1e30	1e30
78.6383972	1e30	1e30	1e30
78.790802	1e30	1e30	1e30
78.943199	1e30	1e30	1e30
79.0956039	1e30	1e30	1e30
79.2480011	1e30	1e30	1e30
79.4003983	1e30	1e30	1e30
79.552803	1e30	1e30	1e30
79.7052	1e30	1e30	1e30
79.8575974	1e30	1e30	1e30
80.01	1e30	1e30	1e30
80.162399	1e30	1e30	1e30
80.3148041	1e30	1e30	1e30
80.4672012	1e30	1e30	1e30
80.6195984	1e30	1e30	1e30
80.7720032	1e30	1e30	1e30
80.9244	1e30	1e30	1e30
81.0767975	1e30	1e30	1e30
81.2292023	1e30	1e30	1e30
81.381599	1e30	1e30	1e30
81.5340042	1e30	1e30	1e30
81.6864014	1e30	1e30	1e30
81.8387985	1e30	1e30	1e30
81.9912033	1e30	1e30	1e30
82.1436	1e30	1e30	1e30
82.2959976	1e30	1e30	1e30
82.4484024	1e30	1e30	1e30
82.6008	1e30	1e30	1e30
82.7532043	1e30	1e30	1e30
82.9056015	1e30	1e30	1e30
83.0579987	1e30	1e30	1e30
83.2104034	1e30	1e30	1e30
83.362801	1e30	1e30	1e30
83.5151978	1e30	1e30	1e30
83.6676025	1e30	1e30	1e30
83.82	1e30	1e30	1e30
83.9724045	1e30	1e30	1e30
84.1248016	1e30	1e30	1e30
84.2771988	1e30	1e30	1e30
84.4296036	1e30	1e30	1e30
84.582001	1e30	1e30	1e30
84.7343979	1e30	1e30	1e30
84.8868027	1e30	1e30	1e30
85.0392	1e30	1e30	1e30
85.1916046	1e30	1e30	1e30
85.3440018	1e30	1e30	1e30
85.4963989	1e30	1e30	1e30
85.6488037	1e30	1e30	1e30
85.801201	1e30	1e30	1e30
85.953598	1e30	1e30	1e30
86.1060028	1e30	1e30	1e30
86.2584	1e30	1e30	1e30
