MD(m)	TVD(m)	TVDSS(m)	TWT(ms)	Vint(m/s)
30	30	0	0	2000
553.6	553.6	523.6	544	1925
612.9	612.9	582.9	607	1882.5423584
683.31	683.31	653.31	675	2070.8811035
716.6500244	716.6500244	686.6500244	712	1802.1635742
748.49	748.49	718.49	748	1768.8863525
795.18	795.18	765.18	794	2030
927.280029	927.280029	897.280029	932	1914.4938965
1025.4200439	1025.4200439	995.4200439	1031	1982.6258545
1048.8399658	1048.8399658	1018.8399658	1051	2341.9943848
1057.8900146	1057.8900146	1027.8900146	1059	2262.5075684
1068.74	1068.74	1038.74	1068	2411.12085
1094.12	1094.12	1064.12	1086	2820
1134.72998	1134.72998	1104.72998	1117	2619.9975586
1174.62	1174.62	1144.62	1146	2751.03125
1197.0799561	1197.0799561	1167.0799561	1165	2364.2146
1252.26001	1252.26001	1222.26001	1213	2299.1643066
1285.0899658	1285.0899658	1255.0899658	1242	2264.140869
1695	1695	1665	1670	1915.467529
1695	1695	1665	1670.0108643	1915.467529
