MD(m)	TVD(m)	TVDSS(m)	Color
30	30	0	Seasurface
553.6	553.6	523.6	MFS11
576.0227661	576.0227661	546.0227661	FS11
683.31	683.31	653.31	MFS10
716.6500244	716.6500244	686.6500244	MFS9
748.49	748.49	718.49	MFS8
795.0091553	795.0091553	765.0091553	FS8
942.2757568	942.2757568	912.2757568	FS7
1051.4104	1051.4104	1021.4104	Truncation
1094.9729	1094.9729	1064.9729	Top Foresets
1106.9383545	1106.9383545	1076.9383545	FS6
1108.8570557	1108.8570557	1078.8570557	MFS4
1149.5823975	1149.5823975	1119.5823975	FS4
1164.7298584	1164.7298584	1134.7298584	FS3
1174.62	1174.62	1144.62	FS2
1197.0799561	1197.0799561	1167.0799561	MFS2
1252.26001	1252.26001	1222.26001	FS1
1285.0898438	1285.0898438	1255.0898438	MMU
